,Wildfire-Hazard-Potential-index,Housing-Unit-Risk,Housing-Unit-Impact,Exposure-type,Burn-Probability,Risk-2-Potential-Structures,Flame-Length-Over-8-Feet,Flame-Length-Over-4-Feet,Conditional-Risk-2-Potential-Structures,Conditional-Flame-Length,Population-Density,Population-Count,Housing-Unit-Exposure,Housing-Unit-Density,Housing-Unit-Count,Building-Density,Building-Cover,Building-Count,Potential-Evapotranspiration,Mean-Temperature,Min-Temperature,Max-Temperature,Precipitation
4399,25.03553002499867,1906.6007270524083,15364519382.0,0.8343727976570395,0.0004704714163802582,0.011968919149288933,0.00034762623398730454,0.03156458053885099,23.56421533429073,1.3977383599941493,120.28360193606723,3992.1458,0.2597563862800598,53.4726344343386,1798.4183,33.24137013988618,1.7658635178979842,1122,352.94753857290925,30.996820655240526,24.824053212762056,37.16958809771903,150.50777752058846
4400,22.11053394539744,1293.5800892635755,19327528096.0,0.41015784260615484,0.0002310320817781952,0.0061663231085855395,0.0019026438548790138,0.018758255377228233,25.71326860352742,0.5871780222238161,1195.1925585890313,9004.5215,0.40065646171569824,382.53358299106065,2904.6938,416.79439478134816,10.99299347668519,3135,197.00200460090977,31.019429353009542,24.73060864572984,37.30825006028929,47.46599998474121
4401,29.412204234122044,1151.1976244991413,13516719013.0,0.61391337389304,0.0004435043802099042,0.011092472459099773,0.0008029603225752347,0.059796050522887265,24.356583817628337,1.526087204450325,883.4257644942577,5355.3848,0.33310094475746155,265.89262487892626,1641.3286,310.42396568423965,8.044555140445551,1932,213.11380141491907,31.037053142769203,24.73240337970797,37.341702905830466,48.58480012267828
4402,0.8378776713338246,0.36551215917464996,393142590.0,0.03168754605747973,2.9748876001919202e-08,6.845420382247088e-07,0.0,0.0,0.6083668629386975,0.04504559263202664,3324.298452468681,3935.3008,2.1303610992617905e-05,878.3271923360354,1033.8401,920.1215917464996,17.333087693441414,1148,181.60836329046663,30.639293509981343,25.20043475731606,36.07815226264671,50.46166639526685
4403,2.1524163568773234,106.061131763734,1602173970.0,0.11358942585708386,2.0103454466744525e-05,0.00034991282168029506,0.0,0.0004203010324307189,2.016220981451363,0.16031414474745714,2321.060305658819,5125.1504,0.015652287751436234,695.7517554729451,1529.5278,764.0718711276332,16.207352333746385,1677,119.42226075684493,30.49076091724936,25.163043498993375,35.81847833550546,28.011111391915215
4404,3.8926038500506586,71.69877049180327,1026661798.0,0.08308004052684904,7.1830697463336565e-06,0.00016984840234120688,0.0,0.00028481258205850557,1.9309940357459474,0.0866531093794524,3053.889564336373,2472.9751,0.0031674164347350597,1265.7791286727456,1121.7501,542.0405268490375,15.288753799392097,437,0.0,,,,0.0
4405,0.8584905660377359,31.67924528301887,321618455.0,0.04363207547169811,3.214761612602984e-06,4.40288633811024e-05,0.0,0.0,0.5477435633821307,0.06109468891935529,3766.689858490566,3039.1213,0.0019570167642086744,1124.8478773584907,904.75171,975.8172169811321,18.422169811320753,792,90.54591854092102,30.581032545670666,25.159239105556765,36.002825985784625,26.39166686932246
4406,6.240087503418103,579.9319255348707,4885721526.0,0.3139185124418923,0.00015154434482615145,0.003540789588800962,0.00033540073104787465,0.016964945533675252,7.174743001435603,0.5225304344621616,1273.6070549630845,4271.0073,0.09392514079809189,388.6538146021329,1289.3918,350.30954334153677,7.844954881050041,1117,144.70762447483895,30.442567913429045,24.999673915946403,35.8854619109117,23.5066667954127
4407,2.982275586049171,57.894797026872496,1209635981.0,0.05603201829616924,4.608381652470791e-06,0.00010724328224014186,0.0,0.0,1.3008719826508004,0.06468824034353336,2226.7735849056603,3832.8887,0.004398235585540533,751.7084048027444,1312.7661,702.9679817038308,12.528301886792454,1132,128.6760908909087,30.961467359377423,24.907010897346595,37.01592382140831,36.74555542733934
4408,9.792902284880894,610.315751093826,11328724279.0,0.29460379192999514,6.651921821672127e-05,0.0017187115516718232,0.0007591819554552849,0.01603696134175035,7.462991746931211,0.5612093304683702,1267.1519202722411,4649.6143,0.09817744791507721,416.91152163344674,1541.7437,505.575109382596,9.504861448711717,1857,137.44057306601974,30.557051650856295,25.000135883041494,36.11396741867114,32.34937500953674
4409,13.962299537917913,204.76010017794766,9188605824.0,0.44667485644876326,0.0002858824495324365,0.007442970203297007,0.0011485344237949448,0.021247054585039244,17.51210077466703,0.7613126231652623,129.63941288393585,3906.9944,0.12823036313056946,38.640228322913835,1258.906,117.2825224245719,3.197961402555042,3875,215.1190708310546,30.561837475245987,24.93754660021983,36.18612835027219,48.08879638214906
4410,5.063940692690838,673.2075769534333,7386163639.0,0.17456674017939883,5.781357456548844e-05,0.001436315046239946,0.001098178455675793,0.011651532144324466,4.696708397283679,0.31299238183967043,451.530638248581,3094.6135,0.10713255405426025,170.27904552299316,1280.7039,220.1757210703116,3.9771805861230165,1659,132.2278503144575,30.56886773005822,24.990271696146426,36.14746376397002,30.42639971256256
4411,11.514621046349712,133.60569834628413,6593305244.0,0.18480206882832703,1.9434515645448507e-05,0.00046389331062579456,0.00032152744465469956,0.0017070273222353199,4.369038053884026,0.2343623728739805,1469.9138651283072,6502.5425,0.027853285893797874,410.24686691863934,1797.6311,474.2208076387507,8.710562960015913,2113,116.17538718940006,30.984815213991702,24.8979999998346,37.07163042814883,33.133200073242186
4412,1.6071428571428572,2.6628830874006812,507894068.0,0.026643990929705215,2.3732641001724027e-07,4.375978032984431e-06,0.0,0.0,0.5493771300023916,0.039361793708368766,2780.014739229025,4383.7915,0.00024296155606862158,784.4501133786848,1248.1804,793.1264172335601,20.00566893424036,1304,130.1681289432903,31.04434784599016,24.870108687359817,37.21858700462059,44.30666720204883
4413,19.668412476722533,666.8092360811394,6860314514.0,0.599542145400518,0.00031853238297574346,0.00814634284049661,0.00136901213470118,0.03573092668416114,20.999007070530727,1.077213223420042,883.4196927374302,6916.6357,0.12562629580497742,225.35754189944134,1743.6621,215.79364525139664,6.58659217877095,1670,293.7594859285738,30.999722829072812,24.77811959515492,37.221326062990755,116.81800030469894
4414,7.152228499686127,346.8723905723906,4633206905.0,0.2608479357933145,5.367361313130821e-05,0.00147188405757121,0.00046487806431542235,0.033749428920901506,13.064448220731325,0.7523811757003296,1656.512554927809,4627.7432,0.0407915860414505,548.8848085373509,1535.0964,632.1023226616447,13.629001883239171,1820,261.3263846187717,30.990258203900822,24.756521836571537,37.22399457123018,91.92777819103665
