GEOID,yb_min,yb_max,yb_mean,hc_mean,hc_sum
48157674100,1977.0,1994.0,1981.4,44.98076923076923,2339.0
48157674200,1980.0,2010.0,1990.1492537313434,22.246376811594203,1535.0
48441013501,1897.0,2020.0,1972.5905405405406,0.20779909806348926,2350.0
48441013602,1903.0,2020.0,1974.191091954023,0.26206736890843846,2264.0
48441013601,1900.0,2018.0,1958.25,3.9748427672955975,1896.0
48441012701,1926.0,2014.0,1978.4307692307693,44.26865671641791,2966.0
48441012702,1960.0,2013.0,1979.027027027027,53.951219512195124,2212.0
48441013502,1879.0,2020.0,1980.9922580645161,1.208984375,4952.0
48167720501,1940.0,2007.0,1983.7843137254902,36.43859649122807,2077.0
48167722002,1945.0,1978.0,1957.0555555555557,82.61111111111111,1487.0
48167720301,1901.0,1994.0,1964.0487804878048,33.8780487804878,1389.0
48439113906,1940.0,2019.0,1986.2721518987341,23.46242774566474,4059.0
48439113946,1998.0,2008.0,2001.1666666666667,102.66666666666667,2464.0
48439113945,1975.0,2005.0,1997.3076923076924,70.25,1967.0
48439113953,1875.0,2019.0,1979.054794520548,19.52238805970149,3924.0
48439113955,1918.0,2009.0,1978.89010989011,12.095890410958905,1766.0
48439113715,1909.0,2019.0,1997.6666666666667,4.0754716981132075,864.0
48439114113,1920.0,2021.0,2002.5531914893618,15.576642335766424,2134.0
48201323701,1956.0,2007.0,1977.8148148148148,17.62962962962963,476.0
48201241103,1950.0,2017.0,1981.2857142857142,33.4,1169.0
48201450801,1960.0,1972.0,1965.6923076923076,35.92307692307692,467.0
48201454302,1977.0,1998.0,1981.939393939394,46.02857142857143,1611.0
48201451902,1940.0,2005.0,1994.7272727272727,30.875,741.0
48201453403,1972.0,1995.0,1983.0,28.555555555555557,257.0
48201453601,1930.0,1984.0,1956.909090909091,28.466666666666665,427.0
48201453501,1968.0,2006.0,1978.578947368421,53.8421052631579,1023.0
48201453502,1954.0,1984.0,1972.125,46.55555555555556,838.0
48245000309,1958.0,2017.0,1987.0294117647059,31.321428571428573,1754.0
48245011700,1929.0,1990.0,1949.7058823529412,14.841269841269842,935.0
48245011800,1925.0,1962.0,1955.923076923077,53.5,1391.0
48201553401,1955.0,2008.0,1978.6818181818182,29.148936170212767,1370.0
48201553801,1920.0,2012.0,1978.911111111111,18.5531914893617,872.0
48157674800,1920.0,1997.0,1958.175,17.163265306122447,841.0
48157674900,1920.0,2014.0,1964.619718309859,9.9453125,1273.0
48157675000,1901.0,2018.0,1951.1081081081081,16.408163265306122,804.0
48157675200,1902.0,2007.0,1951.2745098039215,18.5,1406.0
48187210712,1969.0,2007.0,1992.5454545454545,67.63636363636364,2232.0
48187210710,1910.0,2010.0,1986.0,97.78260869565217,2249.0
48021950102,1880.0,2018.0,1980.5526717557252,1.2906159570070277,3122.0
48021950101,1890.0,2019.0,1984.3986842105264,1.373993095512083,3582.0
48021950202,1856.0,2018.0,1966.912,11.742049469964664,3323.0
48021950403,1876.0,2018.0,1991.030303030303,7.260416666666667,1394.0
48021950301,1890.0,2019.0,1988.4202127659576,2.530371713508613,2791.0
48021950402,1973.0,2015.0,1989.872340425532,13.125,1365.0
48021950201,1880.0,2017.0,1958.4830508474577,9.048387096774194,1683.0
48021950302,1850.0,2019.0,1984.041304347826,1.489216799091941,2624.0
48021950401,1830.0,2016.0,1959.5958549222798,7.631921824104235,2343.0
48021950303,1900.0,2018.0,1980.7461139896373,2.128643852978454,3359.0
48021950505,1913.0,2018.0,1982.5057471264367,1.3179559971611072,1857.0
48021950503,1880.0,2019.0,1986.739903069467,0.83765752409192,2260.0
48021950504,1890.0,2019.0,1991.9620253164558,1.2318757192174914,2141.0
48021950601,1880.0,2019.0,1986.525540275049,0.4563142437591777,2486.0
48021950805,1929.0,2018.0,1994.1725352112676,2.7553763440860215,2050.0
48021950602,1860.0,2019.0,1982.972602739726,0.6661508704061896,1722.0
48021950506,1900.0,2017.0,1980.81220657277,2.4291970802919707,1664.0
48021950806,1880.0,2019.0,1982.593886462882,1.0408299866131192,1555.0
48021950804,1875.0,2019.0,1982.9756097560976,1.922077922077922,2960.0
48021950803,1915.0,2011.0,1985.3406593406594,6.2439024390243905,1536.0
48187210707,1900.0,2019.0,1991.054794520548,34.56122448979592,3387.0
48187210709,1955.0,2017.0,1988.0980392156862,42.67857142857143,2390.0
48187210711,1896.0,2004.0,1983.8064516129032,36.6875,1761.0
48439113809,1920.0,1982.0,1965.2285714285715,94.88571428571429,3321.0
48167722001,1901.0,2014.0,1973.8,27.62015503875969,3563.0
48167726200,1897.0,2017.0,1949.8235294117646,3.3003663003663,1802.0
48381021708,1903.0,2020.0,1986.7017892644135,0.6789340101522843,3210.0
48381021706,1908.0,2020.0,1976.9933554817276,3.9835796387520523,2426.0
48381021804,1900.0,2006.0,1941.9137931034484,19.546666666666667,1466.0
48381021707,1915.0,2017.0,1983.7808219178082,6.1909090909090905,2724.0
48381021803,1900.0,1977.0,1934.1724137931035,36.758620689655174,1066.0
48381021705,1926.0,2019.0,1980.9414893617022,5.517964071856287,1843.0
48381021611,1904.0,2018.0,1997.808988764045,18.949238578680202,3733.0
48381021610,1955.0,2020.0,1992.25,33.69047619047619,1415.0
48157675800,1888.0,2019.0,1969.4178187403993,0.40009711094925954,1648.0
48157673300,1900.0,2018.0,1984.75682382134,1.5549348230912476,2505.0
48201553403,1893.0,2016.0,1986.632911392405,21.289156626506024,1767.0
48201454502,1988.0,2004.0,1996.4827586206898,6.34375,609.0
48373210500,1884.0,2020.0,1972.0429530201343,0.41766078838174275,3221.0
48157670400,1960.0,2017.0,1979.5,38.096774193548384,1181.0
48157670300,1954.0,2008.0,1974.888888888889,26.789473684210527,1018.0
48157670700,1929.0,2019.0,1989.2079207920792,6.450134770889488,2393.0
48201455102,1977.0,2002.0,1987.7368421052631,47.63157894736842,905.0
48201511302,1880.0,1920.0,1906.1363636363637,52.27272727272727,1150.0
48201520601,1934.0,1995.0,1962.142857142857,5.541666666666667,133.0
48201554001,1965.0,2004.0,1980.5925925925926,15.65,626.0
48201212300,1890.0,2018.0,1919.0,24.75609756097561,1015.0
48201212400,1912.0,2015.0,1956.844827586207,5.98019801980198,604.0
48157675300,1898.0,2014.0,1950.9135802469136,15.975806451612904,1981.0
48157675600,1900.0,2019.0,1976.2,0.7457873329459617,2567.0
48157673700,1976.0,1993.0,1986.5,0.49122807017543857,56.0
48085031679,1988.0,1999.0,1995.7272727272727,52.26923076923077,1359.0
48085031329,1959.0,2014.0,2000.1785714285713,56.28813559322034,3321.0
48085031512,1968.0,1984.0,1974.5714285714287,108.42857142857143,1518.0
48085031676,1981.0,1997.0,1987.5172413793102,67.06896551724138,1945.0
48085031675,1985.0,1999.0,1991.1333333333334,87.06666666666666,1306.0
48085030306,1889.0,2021.0,1990.7324840764331,6.311764705882353,7511.0
48085032014,1958.0,1970.0,1964.4545454545455,94.0,2068.0
48085030534,1987.0,2002.0,1992.2083333333333,40.5,972.0
48085030903,1883.0,2021.0,1970.2956521739131,15.943181818181818,2806.0
48085032016,1960.0,2021.0,1999.2424242424242,23.17948717948718,904.0
48085031005,1900.0,2021.0,1973.5395683453237,5.482456140350878,1875.0
48085031006,1918.0,2020.0,1978.8539325842696,4.249475890985325,2027.0
48085031814,1962.0,2019.0,1968.9,44.516129032258064,1380.0
48085030547,1995.0,2017.0,2004.1379310344828,59.10344827586207,1714.0
48085031424,1906.0,1992.0,1979.409090909091,87.27272727272727,1920.0
48085030535,1988.0,2005.0,1995.8947368421052,61.78947368421053,1174.0
48085030901,1905.0,2019.0,1966.0980392156862,8.052083333333334,773.0
48085031007,1906.0,2020.0,1985.2767857142858,8.133196721311476,3969.0
48085030548,1957.0,2019.0,1999.5714285714287,34.527027027027025,2555.0
48085030543,2005.0,2019.0,2014.764705882353,35.06818181818182,1543.0
48085031671,1997.0,2008.0,1999.888888888889,10.75,129.0
48085030544,1959.0,2012.0,1998.2857142857142,50.57142857142857,1770.0
48085031336,1965.0,2018.0,1999.8301886792453,21.08641975308642,1708.0
48085031328,1968.0,2003.0,1995.1818181818182,66.63636363636364,1466.0
48085030608,1950.0,1999.0,1982.3636363636363,30.37037037037037,820.0
48085031425,1950.0,2000.0,1987.6,89.075,3563.0
48085030538,1971.0,2013.0,2001.1666666666667,81.3,2439.0
48085031670,1985.0,2019.0,2007.0,3.2448979591836733,159.0
48085031678,1985.0,1994.0,1987.9583333333333,76.70833333333333,1841.0
48085031674,1983.0,2008.0,1991.5227272727273,50.97826086956522,2345.0
48085031672,1960.0,2014.0,1996.1025641025642,4.25,187.0
48085031673,1986.0,1995.0,1991.6666666666667,23.875,191.0
48085031669,1986.0,2014.0,1996.888888888889,36.04761904761905,757.0
48085032015,1962.0,1985.0,1966.4166666666667,77.83333333333333,934.0
48085031332,1964.0,2020.0,1996.3333333333333,48.81132075471698,2587.0
48085030539,1976.0,2008.0,2000.8,78.41666666666667,2823.0
48085031721,1928.0,1994.0,1980.4545454545455,113.36363636363636,1247.0
48085031723,1983.0,1993.0,1986.5714285714287,9.727272727272727,107.0
48085030550,1943.0,2018.0,1993.6060606060605,44.18181818181818,1944.0
48085031101,1865.0,2020.0,1981.8488612836438,2.7491166077738516,3112.0
48085031102,1900.0,2021.0,1988.4003021148037,1.8207750269106566,3383.0
48085031419,1925.0,2017.0,1987.2072072072071,12.051724137931034,2796.0
48085031415,1986.0,1998.0,1994.0967741935483,77.5,2480.0
48085030204,1908.0,2019.0,1992.1341463414635,18.389423076923077,3825.0
48085031423,1950.0,2000.0,1988.3076923076924,98.15384615384616,1276.0
48085031319,1900.0,2014.0,1981.6785714285713,27.467532467532468,2115.0
48085031326,1931.0,2020.0,1994.4473684210527,14.460526315789474,3297.0
48201250701,1930.0,2017.0,1982.2162162162163,6.791338582677166,1725.0
48201250702,1974.0,2006.0,1987.8333333333333,31.972972972972972,1183.0
48201251503,1984.0,1991.0,1988.090909090909,54.27272727272727,597.0
48201251402,1970.0,1994.0,1979.3125,50.875,1628.0
48201251902,1920.0,2018.0,1978.9673913043478,9.122171945701357,2016.0
48201511001,1950.0,2012.0,1962.76,24.25,679.0
48201522302,1938.0,2009.0,1964.1666666666667,25.31578947368421,481.0
48201522202,1944.0,1958.0,1951.5,19.55,391.0
48201522301,1933.0,2014.0,1956.2142857142858,42.333333333333336,635.0
48201522201,1934.0,1969.0,1954.2941176470588,45.411764705882355,772.0
48201532502,1960.0,1977.0,1971.5217391304348,39.41379310344828,1143.0
48201522500,1933.0,2005.0,1957.3469387755101,30.215686274509803,1541.0
48453040700,1965.0,1996.0,1974.2,65.32,1633.0
48453041900,1928.0,1986.0,1967.8333333333333,65.26470588235294,2219.0
48453041100,1930.0,2017.0,1956.5263157894738,61.36842105263158,1166.0
48453036700,1920.0,2019.0,1997.446153846154,39.45360824742268,3827.0
48453044000,1947.0,2006.0,1995.7692307692307,29.451612903225808,913.0
48453043700,1954.0,2012.0,1990.4166666666667,47.69230769230769,620.0
48453036800,1984.0,2003.0,1994.341463414634,28.73076923076923,2241.0
48453041500,1951.0,1985.0,1965.0555555555557,86.55555555555556,1558.0
48453002213,1900.0,2011.0,1979.0833333333333,67.60975609756098,2772.0
48453002447,1900.0,2019.0,1979.3636363636363,38.94117647058823,1986.0
48453041000,1901.0,1986.0,1957.3870967741937,59.70967741935484,1851.0
48453001312,1852.0,1968.0,1914.6666666666667,133.54166666666666,3205.0
48453044400,1972.0,2003.0,1990.8181818181818,115.24242424242425,3803.0
48453047000,1900.0,2020.0,1983.0882352941176,10.839285714285714,1214.0
48453044900,1920.0,2019.0,1983.98,24.072164948453608,4670.0
48453002453,1900.0,2019.0,1978.217741935484,5.241336633663367,4235.0
48453041600,1900.0,1999.0,1965.675,78.925,3157.0
48453035200,1920.0,2019.0,1982.546712802768,6.497545008183306,3970.0
48453040000,1920.0,1984.0,1956.7,82.83333333333333,2485.0
48453036400,1901.0,2019.0,1989.112540192926,2.5070281124497993,2497.0
48453034500,1991.0,2005.0,1995.6470588235295,51.68181818181818,1137.0
48453032400,1974.0,2006.0,1995.6818181818182,5.964285714285714,167.0
48453033800,1972.0,1995.0,1982.0238095238096,57.093023255813954,2455.0
48453030100,1963.0,2001.0,1976.225806451613,67.125,2148.0
48453030800,1955.0,2001.0,1983.5757575757575,23.37142857142857,818.0
48453035300,1904.0,2018.0,1989.6067073170732,3.9623824451410656,2528.0
48453031600,1939.0,2014.0,1977.5853658536585,42.69047619047619,1793.0
48453032500,1920.0,2001.0,1976.65,56.41463414634146,2313.0
48453045600,1935.0,2019.0,1992.820512820513,68.17948717948718,2659.0
48453043000,1962.0,2005.0,1987.6,13.164179104477611,882.0
48453034200,1950.0,2006.0,1986.2083333333333,35.6,1068.0
48453041300,1917.0,1994.0,1973.5483870967741,94.2258064516129,2921.0
48453042000,1946.0,2005.0,1977.5945945945946,18.09722222222222,1303.0
48453045100,1935.0,2000.0,1976.6315789473683,63.473684210526315,1206.0
48453041400,1925.0,1995.0,1975.8636363636363,38.22727272727273,841.0
48453032100,1944.0,2007.0,1979.605633802817,30.50632911392405,2410.0
48453043100,1930.0,1964.0,1946.1818181818182,102.27272727272727,1125.0
48453042500,1900.0,2019.0,1983.4712230215828,5.959239130434782,4386.0
48453046400,1965.0,2020.0,1996.4146341463415,48.73913043478261,2242.0
48453040200,1945.0,2006.0,1969.8125,40.22222222222222,724.0
48453033900,1919.0,2015.0,1974.431654676259,19.77720207253886,3817.0
48453045200,1920.0,2000.0,1981.85,118.0,2360.0
48453035400,1950.0,2019.0,2000.7904761904763,14.766536964980546,3795.0
48453042200,1963.0,2020.0,1986.142857142857,81.9090909090909,1802.0
48453030000,1955.0,2010.0,1979.344262295082,44.11594202898551,3044.0
48453043800,1971.0,2003.0,1984.095238095238,99.85714285714286,2097.0
48453030500,1915.0,2014.0,1985.8333333333333,11.059259259259258,2986.0
48453032800,1979.0,2017.0,1985.0357142857142,37.892857142857146,1061.0
48453046200,1972.0,2015.0,1998.3023255813953,82.25,3619.0
48453046000,1925.0,2019.0,1986.0677966101696,22.68235294117647,1928.0
48453042800,1904.0,2016.0,1986.340425531915,71.61538461538461,3724.0
48453001311,1900.0,1981.0,1941.1538461538462,47.35294117647059,805.0
48453046300,1900.0,2007.0,1980.6923076923076,61.13793103448276,1773.0
