Exposure-type,Burn-Probability,Risk-2-Potential-Structures,Flame-Length-Over-8-Feet,Flame-Length-Over-4-Feet,Conditional-Risk-2-Potential-Structures,Conditional-Flame-Length,Population-Density,Housing-Unit-Exposure,Housing-Unit-Density,Housing-Unit-Count,Building-Density,Building-Cover,Building-Count,Potential-Evapotranspiration,Mean-Temperature,Min-Temperature,Max-Temperature,Precipitation,TRACTFIPS,POPULATION,BUILDVALUE,AGRIVALUE,WFIR_AFREQ,WFIR_EXPB,WFIR_EXPP,WFIR_EXPPE,WFIR_EXPA,WFIR_EXPT,WFIR_HLRB,WFIR_HLRP,WFIR_HLRA,WFIR_HLRR,WFIR_EALB,yb_min,yb_max,yb_mean,hc_mean,hc_sum
0.14360135900339752,1.2788729212697203e-05,0.00029076217660007497,0.0,0.011013712726389971,3.2023088016704415,0.3775569237507078,1851.2070215175538,0.013412494,617.5938844847112,2386.3848,740.0219705549264,16.338391845979615,2884,179.2791548795078,30.82440218718201,24.84365221935816,36.805152155005906,38.408750128000975,48157674100,6732,1043740392,9833,9.999999747e-06,24019780.91770618,96.33893440019608,1117531639.0422747,0.0,1141551419.9599807,0.4,0.00060432963,0.030198488,Relatively Low,96.07912124366429,1977,1994,1981.4,44.98076923076923,2339
0.25700837289094547,4.577290169182317e-05,0.0008746074479097973,0.0,0.0016892828298841376,12.820576285894605,0.4012740072898588,1018.315399179552,0.07125045,315.67970968759863,1711.2463,386.4479331019249,12.14531397917324,2079,191.24499994699386,30.802153534215883,24.814823378687777,36.78948368974403,40.03791678945223,48157674200,5179,1537306168,3390,9.999999747e-06,94810784.67307445,268.8335625202608,3118469325.235025,0.0,3213280109.908099,0.4,0.00060432963,0.030198488,Relatively Moderate,379.24312911181966,1980,2010,1990.1492537313432,22.246376811594203,1535
0.8702025489243508,0.003102973532616014,0.12332655056924394,0.02407256110923358,0.3504199032074097,37.39401607401227,4.288160201506015,2.941036256297063,2.7516947,1.3747737281781025,1175.4581,3.716728801208191,0.06772524211348971,3200,375.3532340227964,29.430111776619526,21.920976818932225,36.93924673430686,76.54905084680219,48441013501,2389,700295895,7073207,0.00383912881477,334679404.26436484,1114.2870218022979,12925729452.90666,1838134.3559737643,13262246991.52699,0.4,6.5746943e-05,0.010259337,Relatively Moderate,742196.4384806152,1897,2020,1972.5905405405408,0.2077990980634892,2350
0.7076244946653761,0.0026777568897623375,0.11339268602243051,0.0316392558827017,0.31899355853470884,36.82944370448197,3.7893509517939723,3.861040561893495,2.2719967,1.8111992631628295,1199.5314,4.459083751802797,0.08861349415797326,2965,467.5195474008667,29.528161837105195,21.98283512012022,37.07348855409021,141.54936440159838,48441013602,2572,630819319,10778372,0.004084077083457,194473402.5283189,866.2661510439391,10048687352.109692,1423030.9032833115,10244583785.541288,0.4,6.5746943e-05,0.010259337,Relatively Low,404450.1533788421,1903,2020,1974.191091954023,0.2620673689084384,2264
0.39171993668649646,0.0006941891131120809,0.027319720579990325,0.01367850348821048,0.19109550549114884,19.618785649672088,2.0975548565218483,82.28582556474106,0.47311813,38.094881523732944,1383.3374,61.44189260497022,1.2548684574214137,2223,233.0680260956855,29.688236187923078,22.05994565284345,37.316526723002745,79.19533345103264,48441013601,2996,661078525,433798,0.000905357577569,45630342.71405126,291.916873839506,3386235736.5382695,23808.558427548647,3431889887.8107495,0.4,6.5746943e-05,0.010259337,Very Low,15632.203215595,1900,2018,1958.25,3.9748427672955975,1896
0.34578460464304417,0.00036322161214558487,0.009963081028266277,0.0035368735762369907,0.06819068401308039,9.001438678216093,1.1631262511727614,928.4210158840984,0.37392676,371.67079769593295,1933.5504,394.088846220981,13.364286961075232,2083,157.79979303759825,29.860293472331943,22.39110870568694,37.329478238977,48.91599995493889,48441012701,4696,971726650,22235,0.00290632180946,63531642.078415096,258.2755913727287,2995996859.923654,659.2546647280641,3059529161.256733,0.4,6.5746943e-05,0.010259337,Relatively Low,73745.02211169901,1926,2014,1978.430769230769,44.26865671641791,2966
0.16426332288401255,0.00010750167609008503,0.003319642237361322,0.004244702437828327,0.03792899200535119,4.728936557112069,0.6236650329398511,1489.9789968652037,0.12056955,566.2068965517242,1768.2334,511.55297805642635,14.593103448275862,1492,210.50471971532411,29.87907612971682,22.408016321452223,37.35013593798146,64.4574999610583,48441012702,3759,453007163,1735,0.001080819358458,23835620.899844866,268.197352032308,3111089283.5747724,721.9039260276026,3134925626.378544,0.4,6.5746943e-05,0.010259337,Very Low,7380.031543756744,1960,2013,1979.027027027027,53.95121951219512,2212
0.8419260173853,0.0025542479735863105,0.10226970585137353,0.02959517282347279,0.3185188729032749,37.32093170227893,4.114925625323671,22.257136838286282,4.4158597,8.379591729255113,2604.3982,16.13909117773558,0.3887320317277337,5019,319.46942510536894,29.540749999891744,22.19785957347677,36.883640426306755,91.77618052363395,48441013502,7032,1298918140,4928876,0.003612069140345,600694109.6785688,3437.5809493415804,39875939012.36232,1101583.2292718207,40477734705.27016,0.4,6.5746943e-05,0.010259337,Relatively Low,993418.989491938,1879,2020,1980.992258064516,1.208984375,4952
0.352250722227897,0.00016102695052807767,0.004020991781903238,0.002166588765968506,0.017515485772398743,12.908903317429354,0.5432829098679355,986.204765921552,0.1308952,330.81927456769296,1411.8306,397.99409531843105,12.12652889076339,1715,107.46767374805746,30.383532607037523,25.44795652887142,35.31910868520371,28.237500175833702,48167720501,4239,869486692,1243,9.999999747e-06,35903914.584667355,119.9960490357737,1391954168.8149748,0.0,1427858083.3996422,0.4,0.00060432963,0.030198488,Relatively Moderate,143.6156547106363,1940,2007,1983.7843137254904,36.43859649122807,2077
0.10503519220357337,2.1926280157464095e-05,0.0003875803160034907,0.0,3.179874720932279e-05,1.8446147363122631,0.13766400182834496,2058.9149972929076,0.021514308,778.8770979967514,1359.8092,650.6231727125067,14.835408770979967,1120,239.45346990064422,30.05975545489315,25.731739127118118,34.38777178266821,59.65249967575073,48167722002,3487,314626001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.00060432963,0.030198488,No Rating,0.0,1945,1978,1957.0555555555557,82.61111111111111,1487
